iter	Passed	Remaining
483	43000	28074
484	43080	27980
485	43160	27885
486	43240	27791
487	43321	27697
488	43403	27604
489	43489	27513
490	43575	27423
491	43666	27335
492	43758	27249
493	43850	27162
494	43938	27073
495	44026	26983
496	44121	26898
497	44209	26809
498	44299	26721
499	44377	26626
500	44468	26538
501	44555	26448
502	44662	26371
503	44762	26289
504	44853	26201
505	44935	26108
506	45015	26014
507	45097	25922
508	45182	25831
509	45267	25740
510	45352	25649
511	45443	25562
512	45536	25475
513	45629	25389
514	45720	25301
515	45815	25216
516	45912	25132
517	46005	25045
518	46094	24956
519	46179	24865
520	46259	24772
521	46342	24680
522	46428	24590
523	46517	24501
524	46609	24414
525	46693	24323
526	46830	24259
527	46920	24171
528	46999	24077
529	47087	23988
530	47174	23897
531	47263	23809
532	47354	23721
533	47446	23634
534	47530	23542
535	47617	23453
536	47699	23361
537	47787	23272
538	47870	23180
539	47954	23089
540	48034	22996
541	48113	22902
542	48196	22811
543	48274	22717
544	48356	22625
545	48448	22538
546	48535	22449
547	48629	22362
548	48721	22275
549	48816	22189
550	48906	22101
551	48993	22011
552	49073	21918
553	49152	21826
554	49239	21736
555	49323	21645
556	49407	21554
557	49495	21465
558	49579	21374
559	49669	21286
560	49762	21200
561	49846	21109
562	49933	21020
563	50019	20930
564	50111	20842
565	50196	20752
566	50283	20663
567	50373	20575
568	50472	20490
569	50557	20400
570	50640	20309
571	50724	20218
572	50807	20128
573	50897	20039
574	50995	19954
575	51073	19862
576	51153	19769
577	51232	19677
578	51312	19585
579	51395	19494
580	51480	19404
581	51568	19315
582	51657	19227
583	51754	19142
584	51837	19051
585	51923	18961
586	52016	18874
587	52103	18785
588	52184	18694
589	52265	18603
590	52346	18511
591	52440	18424
592	52529	18336
593	52612	18246
594	52698	18156
595	52785	18067
596	52869	17977
597	52957	17888
598	53045	17799
599	53131	17710
600	53216	17620
601	53307	17532
602	53398	17445
603	53494	17359
604	53584	17270
605	53680	17184
606	53775	17098
607	53859	17008
608	53944	16918
609	54029	16828
610	54116	16739
611	54200	16649
612	54284	16559
613	54369	16470
614	54466	16384
615	54553	16295
616	54639	16205
617	54729	16117
618	54816	16028
619	54901	15939
620	54986	15849
621	55072	15760
622	55160	15671
623	55246	15582
624	55333	15493
625	55419	15404
626	55513	15317
627	55598	15227
628	55686	15138
629	55771	15049
630	55851	14958
631	55934	14868
632	56016	14778
633	56101	14689
634	56185	14599
635	56274	14511
636	56359	14421
637	56451	14333
638	56540	14245
639	56630	14157
640	56724	14070
641	56813	13982
642	56902	13893
643	56985	13804
644	57070	13714
645	57157	13625
646	57241	13536
647	57323	13446
648	57415	13358
649	57501	13269
650	57593	13181
651	57680	13093
652	57772	13005
653	57853	12915
654	57935	12825
655	58023	12736
656	58115	12649
657	58203	12560
658	58288	12471
659	58375	12382
660	58464	12294
661	58551	12205
662	58646	12118
663	58734	12029
664	58819	11940
665	58898	11850
666	58979	11760
667	59060	11670
668	59141	11580
669	59221	11490
670	59304	11401
671	59387	11311
