iter	Logloss
196	0.4563053815
197	0.4561334151
198	0.4557960451
199	0.4555510118
200	0.4552533786
201	0.4551031833
202	0.4547494133
203	0.4545129087
204	0.4542309161
205	0.4540211818
206	0.453761049
207	0.4533984466
208	0.4530281831
209	0.4527073744
210	0.4523744258
211	0.4521412143
212	0.4518399972
213	0.4515036889
214	0.4512506316
215	0.4510108223
216	0.4507817544
217	0.4504956692
218	0.4500974912
219	0.4498664713
220	0.44967769
221	0.449413466
222	0.4490910151
223	0.4488537627
224	0.4485960342
225	0.4483498852
226	0.4480199446
227	0.4476941696
228	0.4473892477
229	0.4471284077
230	0.446848652
231	0.4464657088
232	0.4461098062
233	0.4458970754
234	0.4455552334
235	0.4452072873
236	0.4449801733
237	0.4447985765
238	0.4446229447
239	0.4442846156
240	0.4440500442
241	0.4437688621
242	0.4434478653
243	0.4432018801
244	0.442635133
245	0.4423979899
246	0.4421668133
247	0.4419137673
248	0.4416112732
249	0.4413476143
250	0.4411133721
251	0.4408710686
252	0.4407103131
253	0.4404712771
254	0.4401300052
255	0.4398515359
256	0.4395700008
257	0.4393174948
258	0.4390546316
259	0.4388312514
260	0.438562913
261	0.4383272072
262	0.4379820563
263	0.4376915458
264	0.4373184175
265	0.4370920387
266	0.436864778
267	0.4366009733
268	0.4362363112
269	0.436020144
270	0.4357245187
271	0.4354746538
272	0.4352749145
273	0.4350585399
274	0.4346480077
275	0.4344182587
276	0.4341353819
277	0.4339319248
278	0.4335919743
279	0.433365468
280	0.4330471921
281	0.4326750132
282	0.4324225054
283	0.432156805
284	0.4318822993
285	0.4316065623
286	0.4314252407
287	0.4310751452
288	0.4307971057
289	0.4305812745
290	0.4303466055
291	0.4301527263
292	0.4298622256
293	0.4295121419
294	0.4292251037
295	0.4289458637
296	0.4286659004
297	0.4284431116
298	0.4280790525
299	0.4279014959
300	0.4276230369
301	0.4273755719
302	0.4271114464
303	0.4268712258
304	0.4266417025
305	0.4264213761
306	0.426239244
307	0.4258577367
308	0.4255803416
309	0.4253809167
310	0.4251430676
311	0.4246319314
312	0.4243547752
313	0.424123178
314	0.423948842
315	0.4237270338
316	0.4234230361
317	0.4230883798
318	0.4227761108
319	0.4226177863
320	0.4222829818
321	0.4220485751
322	0.4217181695
323	0.4215469182
324	0.4212582358
325	0.4210554895
326	0.4207051317
327	0.4204153211
328	0.4201350047
329	0.4198670503
330	0.4195521216
331	0.4190777793
332	0.4187767735
333	0.4184836319
334	0.4183072897
335	0.4180059453
336	0.417656231
337	0.4174027158
338	0.4171600091
339	0.4167463704
340	0.4165488886
341	0.4161164355
342	0.4158844631
343	0.4157031054
344	0.4154606321
345	0.4151379818
346	0.4147302494
347	0.4144856731
348	0.4138565921
349	0.4135077812
350	0.4130639549
351	0.4128322158
352	0.4124431575
353	0.4121751755
354	0.4119296725
355	0.4115975354
356	0.4111265621
357	0.4106949549
358	0.4103328291
359	0.4100775202
360	0.4096348754
361	0.4093666109
362	0.4090826668
363	0.4086480257
364	0.4082822807
365	0.4080168509
366	0.407700641
367	0.4074324585
368	0.4072009063
369	0.406615218
370	0.4061434821
371	0.4056145825
372	0.4052873497
373	0.405050769
374	0.4046238587
375	0.4043949371
376	0.4040136516
377	0.4035745997
378	0.4033599742
379	0.403020903
380	0.4025706455
381	0.4021857223
382	0.4019809908
383	0.40164539
384	0.401286357
385	0.4008827906
386	0.4005938756
387	0.4002311975
388	0.4000164241
389	0.3997172944
390	0.3992962884
391	0.3988667533
392	0.39854543
393	0.3982196886
394	0.3977212309
395	0.3973838879
396	0.3970103382
397	0.3964722372
398	0.3961292608
399	0.3957914924
400	0.3952180851
401	0.3948142037
402	0.3943516165
403	0.3940213119
404	0.3935931908
405	0.393257209
406	0.3928718437
407	0.3924212957
408	0.3921024875
409	0.3917914613
410	0.3915155776
411	0.3911679335
412	0.3908809171
413	0.3904881315
414	0.3901092067
415	0.389644036
416	0.3891574205
417	0.3887196708
418	0.3884089732
419	0.3880470958
420	0.3876618689
421	0.3873031653
422	0.3868662852
423	0.3863587324
424	0.3859333518
425	0.3857286208
426	0.3853145582
427	0.3849361779
428	0.3846256404
429	0.3842167459
430	0.3838601018
431	0.3834978446
432	0.3832041821
433	0.3828360868
434	0.3824346322
435	0.3820214076
436	0.3817376166
437	0.3814424809
438	0.3809509708
439	0.3805307473
440	0.3802066973
441	0.3799198018
442	0.3795387802
443	0.3792278328
444	0.3788327806
445	0.3784912046
446	0.3782502171
447	0.3778979698
448	0.377553162
449	0.3770986284
450	0.3766766701
451	0.3763141944
452	0.3760903373
453	0.3758236438
454	0.3753921508
455	0.3750200362
456	0.3746713499
457	0.3743542836
458	0.3740974109
459	0.3736378558
460	0.3732987316
461	0.37279116
462	0.372443444
463	0.3720313431
464	0.3716251968
465	0.3712889653
466	0.3709180781
467	0.3705476389
468	0.3702329183
469	0.3698984911
470	0.3694983909
471	0.3691688988
472	0.3687467341
473	0.3682602083
474	0.3678935363
475	0.3675322621
476	0.3671132814
477	0.3668169127
478	0.3665197211
479	0.3662230992
480	0.365767263
481	0.3654301005
482	0.3650301153
483	0.3646655389
484	0.364378476
485	0.3640317961
486	0.3636449092
487	0.3632821627
488	0.3629788793
489	0.3625946379
490	0.3622124142
491	0.3618894098
492	0.3616309545
493	0.3612285438
494	0.3608204595
495	0.3605368373
496	0.3601869462
497	0.3596008878
498	0.3591836972
499	0.3588882664
500	0.3584257905
501	0.3580771232
502	0.357822283
503	0.3575178465
504	0.3571811681
505	0.3568943383
506	0.356641663
507	0.3562078502
508	0.3558457949
509	0.3554487437
510	0.3551769197
511	0.3548151336
512	0.3542818996
513	0.3540031745
514	0.3536214557
515	0.3532332879
516	0.3529191741
517	0.3525621293
518	0.3522273656
519	0.3519595753
520	0.3516232369
521	0.3513195745
522	0.3509708185
523	0.3506390391
524	0.3502886621
525	0.3501059254
526	0.3497410723
527	0.3493148157
528	0.3491053438
529	0.3487676812
530	0.3483830479
531	0.3479866502
532	0.3476775006
533	0.3473323264
534	0.3470966093
535	0.3467709962
536	0.3465163829
537	0.3462367434
538	0.3459060647
539	0.3455503318
540	0.3451979075
541	0.3449211708
542	0.3445442739
543	0.3442733732
544	0.3439829964
545	0.3436702678
546	0.3434162323
547	0.343204549
548	0.3429080244
549	0.3424969242
550	0.3421364362
551	0.3417493301
552	0.3414948712
553	0.3412135484
554	0.3408609972
555	0.3406349379
556	0.3403436036
557	0.3399734654
558	0.3396953129
559	0.3394842535
560	0.3391617394
561	0.3388836673
562	0.3385834935
563	0.3382988794
564	0.337936786
565	0.3376667622
566	0.3373420273
567	0.3369846287
568	0.3366311472
569	0.3362935835
570	0.3360178456
571	0.3356732116
572	0.3353435758
573	0.3350771209
574	0.3347884864
575	0.3344824871
576	0.3342234967
577	0.3339159078
578	0.3335307285
579	0.3332361748
580	0.3328889166
581	0.3325693564
582	0.3322503887
583	0.3319809549
584	0.3317425468
585	0.3315197253
586	0.3312308544
587	0.3309741474
588	0.3306780998
589	0.3304158575
590	0.3300363379
591	0.3297498185
592	0.329437599
593	0.3292039616
594	0.3289562586
595	0.3286035574
596	0.3283596927
597	0.3280672608
598	0.3277922987
599	0.3274940691
600	0.3272167664
601	0.3268842827
602	0.326609217
603	0.3262996344
604	0.326047929
605	0.3257726706
606	0.3254701324
607	0.3251544472
608	0.3248676904
609	0.3246203426
610	0.3243161297
611	0.3240350339
612	0.3237638312
613	0.3234975699
614	0.3231997365
615	0.3229699682
616	0.3227566835
617	0.3225168156
618	0.3222275295
619	0.321961648
620	0.3216338996
621	0.3214715313
622	0.321151122
623	0.3208114022
624	0.3206107874
625	0.3203317149
626	0.3200894301
627	0.3199074089
628	0.3196382252
629	0.3194082737
630	0.3190992558
631	0.3188811155
632	0.3186335245
633	0.3183122034
634	0.317989851
635	0.3178165478
636	0.3176017522
637	0.3173510908
638	0.317142618
639	0.3168681796
640	0.3166022661
641	0.3163245664
642	0.3160335777
643	0.3157962333
644	0.3154870172
645	0.3152336998
646	0.3149991465
647	0.3147495757
648	0.3144607374
649	0.314218068
650	0.3139588061
651	0.313706396
652	0.3134428468
653	0.3132114144
654	0.3129924821
655	0.3126979615
656	0.3123669651
657	0.3121235983
658	0.3118469238
659	0.3115655254
660	0.3113634591
661	0.3111477072
662	0.310852661
663	0.3104820367
664	0.3102863846
665	0.3100719206
666	0.3098077314
667	0.3095874268
668	0.3093353434
669	0.3090992846
670	0.3088812776
671	0.308662869
