iter	Logloss
0	0.6851500282
1	0.67729236
2	0.6697420776
3	0.6629024745
4	0.6561964044
5	0.6508275361
6	0.6446643124
7	0.6394127124
8	0.6335418757
9	0.6282763122
10	0.6240446845
11	0.6199123062
12	0.6155664419
13	0.6111913857
14	0.607185027
15	0.6029418579
16	0.5997189313
17	0.5958501425
18	0.5927870872
19	0.5897896248
20	0.5858489031
21	0.5823097607
22	0.5790188292
23	0.5757294035
24	0.5729772914
25	0.5704091462
26	0.56833246
27	0.5659244711
28	0.5634356433
29	0.5611868494
30	0.5591641097
31	0.5572251139
32	0.5545176756
33	0.5525504702
34	0.5510099889
35	0.5484981986
36	0.547162828
37	0.5454484173
38	0.5439379685
39	0.5425435805
40	0.541425417
41	0.5402541105
42	0.5388728318
43	0.5370178813
44	0.53597466
45	0.5349061047
46	0.5332418444
47	0.5319268021
48	0.5303090677
49	0.5286513902
50	0.5274961466
51	0.5265606977
52	0.5251880826
53	0.5244350532
54	0.5236162367
55	0.5223154727
56	0.5215199923
57	0.5207141384
58	0.5201048569
59	0.5186810218
60	0.51763483
61	0.5167462794
62	0.5160677119
63	0.5150123895
64	0.5143093964
65	0.51348407
66	0.5125497669
67	0.5117257882
68	0.5105649515
69	0.5093538104
70	0.5084907875
71	0.5078514219
72	0.5072404689
73	0.5069110852
74	0.5059279488
75	0.5052516811
76	0.5046995603
77	0.5041146417
78	0.5031873462
79	0.5025889737
80	0.5020875135
81	0.5014614527
82	0.5008135961
83	0.5002149248
84	0.4998294205
85	0.4995225507
86	0.4988205191
87	0.4984916039
88	0.4978013252
89	0.4971722495
90	0.4965275032
91	0.4961113558
92	0.4953697599
93	0.494726346
94	0.494176927
95	0.4937505436
96	0.493146282
97	0.492772119
98	0.4923732806
99	0.4919982413
100	0.4915984801
101	0.4911930986
102	0.4907735343
103	0.4902297807
104	0.489879978
105	0.4894702961
106	0.489140116
107	0.4888348535
108	0.4880184451
109	0.4875078915
110	0.4870838739
111	0.4867384348
112	0.4864343025
113	0.4860848936
114	0.4856973289
115	0.4849861385
116	0.4844594203
117	0.4839653235
118	0.4833958126
119	0.4829073258
120	0.4823148121
121	0.4817292661
122	0.4812604956
123	0.4810185556
124	0.4803703374
125	0.4797966985
126	0.479445847
127	0.479012986
128	0.4787049689
129	0.4783301052
130	0.4779596952
131	0.4776368866
132	0.4770323736
133	0.4766003742
134	0.4763162537
135	0.4759590291
136	0.4757978768
137	0.4754823489
138	0.4752596649
139	0.4748932389
140	0.4744660231
141	0.4741616969
142	0.4738175119
143	0.4734264507
144	0.4729100689
145	0.472492681
146	0.4721496927
147	0.471791041
148	0.4714241823
149	0.47085539
150	0.4704259808
151	0.4701183418
152	0.4696521407
153	0.4694032532
154	0.4690909266
155	0.468593356
156	0.4683207318
157	0.4679820988
158	0.4677417679
159	0.4674200622
160	0.4671774346
161	0.4668486402
162	0.4665069561
163	0.4662693265
164	0.4658530761
165	0.4655897544
166	0.4651512629
167	0.4647967299
168	0.4645574484
169	0.4642304342
170	0.4638963584
171	0.4634688081
172	0.4631837472
173	0.4628362231
174	0.4625707351
175	0.4622941443
176	0.4619637651
177	0.4617073988
178	0.461334266
179	0.461130924
180	0.4608252678
181	0.4604620374
182	0.4601150006
183	0.4597690203
184	0.4595081814
185	0.4591363512
186	0.4589000841
187	0.4585273595
188	0.4583044873
189	0.4580710336
190	0.4578302613
191	0.4575619643
192	0.457269529
193	0.4569781808
194	0.4567772219
195	0.4565192279
